Titulo,Pais,Ano,Minutagem,Genero,Sinopse
One Last Shot,Canada,1998,31,Comedies,in this low budget short film  two best buddies meet up for a night of booze fueled fun before one of them moves to vancouver 
The After Party,United States,2018,90,"Comedies, Music & Musicals",an aspiring rapper and his best friend manager have one night to bounce back from embarrassment and make their dreams of hip hop stardom come true 
Bareilly Ki Barfi,India,2017,110,"Comedies, Dramas, International Movies",when she falls in love with the author of a novel she adores  bohemian bitti enlists the help of a local printer to find her new object of affection 
Mersal,India,2017,162,"Action & Adventure, Dramas, International Movies",a detective arrests a doctor for crimes targeting medical professionals but later finds the real culprit in a tale of revenge  corruption and magic 
Mom,India,2017,139,"Dramas, International Movies, Thrillers",after her stepdaughter is sexually assaulted at a party  a furious mother sets out to destroy the lives of the four perpetrators who walked away free 
Pad Man,India,2018,130,"Dramas, International Movies, Romantic Movies",despite public humiliation and resistance  an entrepreneur markets a hygienic  low cost sanitary pad that even india s poorest women can afford 
Toilet: Ek Prem Katha,India,2017,145,"Comedies, Dramas, International Movies",on her first day of marriage  a woman leaves her husband upon learning his home lacks a toilet  sparking a quixotic quest to acquire modern sanitation 
Party Monster: Scratching the Surface,United States,2018,33,Comedies,in the probing documentary  party monster   dj fingablast investigates what became of his childhood hero  dj slizzard 
The Motive,"Spain, Mexico",2017,114,"Comedies, Dramas, International Movies",an aspiring writer with no imagination seeks inspiration for his novel by manipulating the lives of his neighbors so that he can write about them 
To All the Boys I’ve Loved Before,United States,2018,100,"Comedies, International Movies, Romantic Movies",when her secret love letters somehow get mailed to each of her five crushes  lara jean finds her quiet high school existence turned upside down 
Yoo Byung Jae: Discomfort Zone,South Korea,2018,54,Stand-Up Comedy,daring comedian yoo byung jae connects criticism he s received from the general public to some of the most touchy issues in current korean society 
Bhavesh Joshi Superhero,India,2018,150,"Dramas, International Movies, Sci-Fi & Fantasy",when his best friend is killed for uncovering political corruption  an idealistic young man decides to become a masked fighter for justice 
For Here or to Go?,"United States, India",2015,105,"Comedies, Dramas, Independent Movies",a software engineer must decide if he d rather navigate america s frustrating visa renewal process or simply return to his home country of india 
The Guernsey Literary and Potato Peel Pie Society,"United Kingdom, France, United States",2018,124,"Dramas, Romantic Movies",a london writer bonds with the colorful residents of guernsey as she learns about the book club they formed during the wwii german occupation 
The Package,United States,2018,95,Comedies,after their buddy suffers an unfortunate accident during spring break  four pals risk everything   including their dignity   to make him whole again 
Zion,United States,2018,12,"Documentaries, Sports Movies",born without legs and stuck in foster care for years  teen zion clark finds his calling when he pursues competitive wrestling  a documentary short 
Perdida,"Argentina, Spain",2018,104,"Dramas, International Movies, Thrillers",a policewoman whose childhood friend disappeared in patagonia years ago starts a new search to find answers  and soon finds her own life in danger 
2 States,India,2014,143,"Comedies, Dramas, International Movies",graduate students krish and ananya hope to win their parents  approval before they marry  but the two families clash over their cultural differences 
Baaghi,India,2016,127,"Action & Adventure, International Movies",a martial artist faces his biggest test when he has to travel to bangkok to rescue the woman he loves from the clutches of his romantic rival 
Brij Mohan Amar Rahe,India,2018,100,"Comedies, Dramas, International Movies",faking his death to escape the realities of his uneventful life worked out well for brij mohan   until he was sentenced to death for his own murder 
Flavors of Youth: International Version,"China, Japan",2018,74,"Anime Features, International Movies, Romantic Movies",memories in a bowl of steaming noodles  a fading beauty finding her way and a bittersweet first love   all in these stories of city life in china 
Like Father,United States,2018,104,"Comedies, Dramas",after she s left at the altar  a workaholic advertising executive ends up on her caribbean honeymoon cruise with her estranged father 
7 Khoon Maaf,India,2011,148,"Dramas, International Movies, Thrillers",spiced liberally with black comedy  this bollywood drama follows the lethal love life of a woman who marries numerous men   only to find them flawed 
Chillar Party,India,2011,127,"Children & Family Movies, Comedies, Dramas",eight feisty boys befriend young drifter fatka  when a mean politician threatens fatka s way of life  the boys band together in honor of their pal 
Fashion,India,2008,158,"Dramas, International Movies",a small town girl finally realizes her dream of becoming a famous supermodel but soon finds there s a price for her glamorous new life 
Fitoor,India,2016,124,"Dramas, International Movies, Romantic Movies",a young artist falls for an aristocratic young woman whose bitter mother has trained her in the art of breaking hearts 
Fiza,India,2000,163,"Dramas, International Movies, Music & Musicals",fiza s brother disappears during mumbai s horrifying 1993 riots  each day  fiza and her widowed mother hope that he will return 
Guzaarish,India,2010,121,"Dramas, International Movies",after an onstage disaster leaves an illusionist paralyzed  he channels his magic into a hit radio show  years later  he fights for the right to die 
Haider,India,2014,154,"Dramas, International Movies, Romantic Movies",shahid kapoor delivers a searing performance in this bollywood take on hamlet that unfolds amid kashmiri culture and history 
Highway,India,2014,127,"Action & Adventure, Dramas, International Movies",city girl veera is kidnapped on the eve of her wedding  but as her captors take her through the countryside  veera finds herself feeling emancipated 
I Hate Luv Storys,India,2010,128,"Comedies, International Movies, Music & Musicals",this bollywood spoof recounts the ups and downs of an assistant film director who loathes romance and a designer who adores all things sentimental 
Joker,India,2012,98,"Comedies, International Movies, Music & Musicals",a remote village situated neither in india or pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over 
Main aurr Mrs. Khanna,India,2009,109,"International Movies, Music & Musicals, Romantic Movies",a financially troubled indian man heads to singapore to find employment  while his pretty wife stays behind in a move that could cause trouble 
Mohenjo Daro,India,2016,168,"Action & Adventure, Dramas, International Movies",a courageous villager moves to the ancient city of mohenjo daro  where he falls for the daughter of a priest and does battle with a tyrant 
Raajneeti,India,2010,162,"Dramas, International Movies, Thrillers",when the american educated scion of a powerful indian family returns to the subcontinent  his first taste of power starts him down a corrupt path 
Rang De Basanti,India,2006,159,"Dramas, International Movies",an idealistic english filmmaker casts a group of student actors in her docudrama about india s revolution against british rule in the 1920s 
Rowdy Rathore,India,2012,137,"Action & Adventure, Comedies, International Movies",a con man uncovers a deadly secret and must save his lady love  the little girl who insists she s his daughter and the small town locals from the mob 
Tamasha,India,2015,133,"Dramas, International Movies, Romantic Movies",meeting while on vacation  ved and tara sense a connection but vow to keep their real identities a secret  years later  their paths cross again 
Tere Naal Love Ho Gaya,India,2012,127,"Comedies, International Movies, Romantic Movies",mini isn t eager to wed the rich suitor who s been chosen for her  so she stages her own kidnapping and runs off with a man who works for her father 
Thank You,India,2011,131,"Comedies, International Movies, Romantic Movies",three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective   who falls for one of the wives 
The Blue Umbrella,India,2005,90,"Children & Family Movies, Dramas, Independent Movies",a charming allegory based on a novella by ruskin bond  this visually stunning film from india explores themes of greed  loneliness  longing and loss 
Being Napoleon,United States,2018,88,Documentaries,on the 200th anniversary of the battle of waterloo  thousands of enthusiasts reenact the epic clash  but there can only be one napoleon 
Invisible,"Argentina, France",2017,87,"Dramas, Independent Movies, International Movies",after learning she s pregnant  a teen grapples with the consequences while trying to go about her life as if nothing has changed 
Da Kath & Kim Code,Australia,2005,82,Movies,kath and kel s union is tested by michael bubl   daughter kim tries pole dancing  pal sharon finds love online  and a stalker lurks amid yuletide cheer 
Kath & Kimderella,Australia,2012,86,Comedies,chipper baby boomer kath  diva daughter kim and hapless pal sharon visit papilloma  italy  where a royal romance and knockoff fashions await 
The Mansion,"France, Belgium",2017,100,"Comedies, Horror Movies, International Movies",a group of students celebrates new year s at a remote belgian estate  where their substance fueled revelry soon descends into a bloodstained nightmare 
Coco y Raulito: Carrusel de ternura,Mexico,2018,57,Stand-Up Comedy,a study in contrasts  comedy partners and good friends coco celis and ra l meneses alternate separate stand up sets for double the laughs 
Extinction,United States,2018,95,"Action & Adventure, Dramas, Sci-Fi & Fantasy",plagued by dreams of an alien invasion  a family man faces his worst nightmare when an extraterrestrial force begins exterminating earth s inhabitants 
The Bleeding Edge,"Australia, United States",2018,101,Documentaries,this eye opening look at the fast growing medical device industry reveals how the rush to innovate can lead to devastating consequences for patients 
Parmanu: The Story of Pokhran,India,2018,124,"Dramas, International Movies",a dedicated government official puts his career in jeopardy by insisting that india become a nuclear power  a goal that powerful forces resist 
Iliza Shlesinger: Elder Millennial,United States,2018,72,Stand-Up Comedy,newly engaged comic iliza shlesinger dives into undeniable truths about life at age 35  the insanity of the road traveled and what s to come 
The Warning,Spain,2018,93,"International Movies, Thrillers",after his friend is shot  jon finds a mathematical pattern behind deaths that occurred at the same location and sets out to warn the next young victim 
Duck Duck Goose,"China, United States, United Kingdom",2018,92,"Children & Family Movies, Comedies",as his flock s annual migration nears  a carefree goose is grounded with an injury and takes a pair of lost ducklings under his wing 
Father of the Year,United States,2018,95,Comedies,a drunken debate between two recent college grads about whose father would win in a fight leads to mayhem when their dads take the challenge seriously 
Nothing to Lose,Brazil,2018,133,"Dramas, Faith & Spirituality, International Movies",this biographical drama traces the rise to fame of controversial brazilian evangelical leader and business titan edir macedo 
El club de los buenos infieles,Spain,2018,85,"Comedies, International Movies",four childhood buddies in passionless marriages try a counterintuitive idea  a secret club for men who want to cheat   to regain lust for their wives 
Camarón: The Film,Spain,2018,105,"Documentaries, International Movies, Music & Musicals",this documentary looks back on the life of legendary flamenco singer camar n  who went from humble roots to rock star status to a tragic early death 
GODZILLA City on the Edge of Battle,Japan,2018,101,"Action & Adventure, Anime Features, International Movies",on earth  haruo and his companions make contact with the indigenous houtua tribe  to defeat godzilla  they set out for the old mechagodzilla facility 
Going for Gold,Australia,2018,88,"Children & Family Movies, Dramas, International Movies",after moving to australia  an american teen convinces her new friends to form a cheer squad and take on their biggest rivals in competition 
How It Ends,United States,2018,113,"Action & Adventure, Sci-Fi & Fantasy",when a mysterious disaster turns the country into a war zone  a young lawyer heads west with his future father in law to find his pregnant fianc e 
Jim Jefferies: This Is Me Now,United States,2018,71,Stand-Up Comedy,the gleefully irreverent jefferies skewers  grabby  celebrities  political hypocrisy and his own ill advised career moves in a brash stand up special 
Romina,Mexico,2018,75,"Horror Movies, Independent Movies, International Movies",a shocking assault inspires horrific violence when a group of teens encounters a girl from their school while camping in a remote spot 
Luciano Mellera: Infantiloide,Argentina,2018,66,Stand-Up Comedy,argentina s luciano mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life 
The Legacy of a Whitetail Deer Hunter,United States,2018,83,"Action & Adventure, Comedies, Dramas",a star of hunting videos strives to bond with his 12 year old son on a wilderness trip but learns familial connections can t be forced 
The Skin of the Wolf,Spain,2018,110,"Dramas, Independent Movies, International Movies",an animal trapper living in an abandoned mountain town in northern spain seeks to resolve his loneliness by securing a wife 
White Fang,"France, Luxembourg, United States",2018,88,"Children & Family Movies, Dramas",a loyal wolfdog s curiosity leads him on the adventure of a lifetime while serving a series of three distinctly different masters 
Sommore: Chandelier Status,United States,2013,77,Stand-Up Comedy,luminous funnywoman sommore wows miami with her unique take on body modification  internet sex  the world of celebrities and more 
Felipe Esparza: They're Not Going to Laugh at You,United States,2012,58,Stand-Up Comedy, last comic standing  winner felipe esparza runs riot in his first comedy special with his wry comments on life as a wild man from east los angeles 
Joan Rivers: Don't Start with Me,United States,2012,69,Stand-Up Comedy,at 78  joan rivers has no interest in slowing down  and no one s immune from her caustic barbs in this stand up special 
Katt Williams: Kattpacalypse,United States,2012,61,Stand-Up Comedy,urban comic katt williams ushers in kattpacalypse  exploding with more energy than an atomic bomb and riffing on everything from doomsday to obama 
King of Peking,"China, United States, Australia",2018,88,"Comedies, Dramas, International Movies",strapped for cash  a traveling projectionist begins to run a dvd pirating business  putting him at odds with his young  skeptical son 
Anthony Kaun Hai?,India,2006,122,"Comedies, Dramas, International Movies",a forger uses a fake identity in trying to retrieve stolen diamonds buried in a penitentiary  unaware a mob assassin is on the trail of his phony alias 
Bo Burnham: what.,United States,2013,60,Stand-Up Comedy,left brain and right brain duke it out   and ultimately belt out a melody   in stand up comedian bo burnham s quick and clever one man show 
Chalte Chalte,India,2003,166,"Dramas, International Movies, Romantic Movies",priya and raj are polar opposites  raj is brash and earthy  while pirya is sophisticated and something of a perfectionist in all she does  they really are like oil and water  but nonetheless  they dare to fall in love 
Deewana Main Deewana,India,2013,107,"Comedies, Dramas, International Movies",a man s instant attraction to a woman becomes an obsession as he adopts a friend s identity and even commits murder in order to get closer to her 
Duck Butter,United States,2018,94,"Dramas, Independent Movies, LGBTQ Movies",wary of dishonesty in relationships  two young women embark on a 24 hour experiment on intimacy  but their romance flounders as the clock winds down 
I Am Kalam,India,2010,87,"Children & Family Movies, Comedies, Dramas",an intelligent boy born into poverty befriends the son of a once noble family and is inspired by the life of india s president to pursue an education 
My Birthday Song,India,2018,92,"Dramas, International Movies, Thrillers",after a wild night of impulse and infidelity  advertising executive rajiv kaul must navigate the blurred lines between life  death  fact and fiction 
Namastey London,India,2007,130,"Comedies, Dramas, International Movies",to her indian parents  dismay  london born jasmeet  jazz  malhotra longs for everything western  including her british boyfriend  on a family trip to india  her father arranges jazz s nuptials to arjun ballu singh  who s smitten with his new bride 
Soul Robbers,Mexico,2015,88,"Horror Movies, International Movies",during mexico s war of independence  a group of men face unimaginable horrors when they attempt to steal from the seemingly helpless cordero sisters 
Tum Milo Toh Sahi,India,2010,128,"Comedies, Dramas, International Movies",an astute but old fashioned law clerk steps up to help the owner of a cafe in a legal battle that has both business and personal ramifications 
What We Started,United States,2017,96,"Documentaries, Music & Musicals",djs and industry insiders offer a backstage pass to the world of electronic dance music  reflecting on its radical origins and the future of the genre 
Zoo,India,2018,94,"Dramas, Independent Movies, International Movies",a drug dealer starts having doubts about his trade as his brother  his client  and two rappers from the slums each battle their own secret addictions 
Bill Burr: You People Are All the Same,United States,2012,69,Stand-Up Comedy,funnyman bill burr takes the stage to uncork a profanity laced  incisive routine that pokes fun at plastic surgery  reality tv  gold diggers and more 
The Maus,Spain,2017,90,"Horror Movies, Independent Movies, International Movies",while traveling with her german boyfriend  selma is confronted by the violent remnants of the bosnian war and the ethnic cleansing her family faced 
Calibre,United Kingdom,2018,101,"Dramas, International Movies, Thrillers",two lifelong friends on a hunting trip in scotland find their nerves   and their morals   ruthlessly tested after a harrowing turn of events 
Jani Dueñas: Grandes fracasos de ayer y hoy,Chile,2018,77,Stand-Up Comedy,chilean comedian and personality jani due as pours out her feelings on issues that are all too universal  from aging to dieting to sex 
Penalty Kick,"Colombia, Mexico",2018,89,"Comedies, Dramas, International Movies",convinced mexico will lose the world cup qualifier without him  a soccer superfan faces an impossible choice when family obligations stand in his way 
Recovery Boys,United States,2018,90,Documentaries,in a region ravaged by opioid abuse  four young men in a farming based rehab forge a bond as they try to reinvent their lives after years of addiction 
TAU,United States,2018,98,"Sci-Fi & Fantasy, Thrillers",kidnapped by an inventor who uses her as a test subject to perfect his robotic ai  a street smart young woman tries to escape her high tech prison 
W. Kamau Bell: Private School Negro,United States,2018,66,Stand-Up Comedy,comedian w  kamau bell muses on parenting in the trump era   free speech  dustups  woke children s tv and his fear of going off the grid 
Expelled from Paradise,Japan,2014,103,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",in the wake of a global catastrophe  the human survivors are  uploaded  into a cyber network  but someone or something is infiltrating the system 
"To Each, Her Own",France,2018,95,"Comedies, International Movies, LGBTQ Movies",just as simone works up the courage to tell her conservative jewish family she s a lesbian  she finds herself attracted to a male senegalese chef 
Brain on Fire,"United States, Canada, Ireland",2016,89,"Dramas, Independent Movies, International Movies",stricken with seizures  psychosis and memory loss  a young new york post reporter visits doctor after doctor in search of an elusive diagnosis 
Derren Brown: Miracle,United Kingdom,2018,74,International Movies,illusionist derren brown reinvents the concept of  faith healing  through a series of stunts that debunk the confines of fear  pain and disbelief 
Us and Them,China,2018,119,"Dramas, International Movies, Romantic Movies",two strangers meet on a train and form a bond that evolves over the years  after a separation  they reconnect and reflect on their love for each other 
Hannah Gadsby: Nanette,Australia,2018,70,Stand-Up Comedy,australian comic hannah gadsby reshapes standard stand up by pairing punchlines with personal revelations on gender  sexuality and childhood turmoil 
Lust Stories,India,2018,121,"Comedies, Dramas, International Movies",in the companion to 2013 s  bombay talkies   four short films by four of india s biggest directors explore love  sex and relationships in modern india 
Maktub,Israel,2018,106,"Comedies, International Movies",after surviving a bomb attack  two low level mobsters in jerusalem change their ways and set about making strangers  wailing wall prayers come true 
Pacificum: Return to the Ocean,Peru,2017,74,"Documentaries, International Movies",four scientists offer a sweeping yet intimate exploration of peru s majestic coastline by land  sea and air 
Set It Up,United States,2018,106,"Comedies, Romantic Movies",in desperate need of a break from the office  two beleaguered assistants team up to trick their workaholic bosses into falling in love 
Sunday's Illness,Spain,2017,113,"Dramas, Independent Movies, International Movies",decades after being abandoned as a young child  chiara finds her mother and asks her to spend 10 days together in a remote location 
The last hour,"Chile, Peru",2017,119,"Dramas, International Movies",in this compelling true story  two peruvian detectives go undercover to locate and capture the elusive leader of the shining path guerrilla army 
Alex Strangelove,United States,2018,100,"Comedies, Dramas, Independent Movies",high school senior alex truelove s plan to lose his virginity to lovable girlfriend claire goes awry when he meets the equally lovable elliot 
Ali's Wedding,Australia,2018,110,"Comedies, Independent Movies, International Movies",after telling a white lie that spins out of control  the son of an iraqi born cleric in melbourne becomes torn between family duty and his own heart 
Franco Escamilla: Por la anécdota,Mexico,2018,66,Stand-Up Comedy,mexican stand up comedian franco escamilla draws his jokes from real life experiences   and he s willing to do anything for new material 
B.A. Pass 2,India,2017,126,"Dramas, International Movies",a young woman eager to avoid an arranged marriage moves to mumbai  where she learns hard truths about show business  life and love 
Bad Genius,Thailand,2017,130,"Dramas, International Movies, Thrillers",a top student gets pulled into a cheating racket with increasingly higher risks and even higher rewards  but she may lose much more than she gains 
Outside In,United States,2018,110,"Dramas, Independent Movies",after serving time for a crime he didn t commit  a 38 year old man forms a complicated  life altering bond with the woman who advocated for his early release 
Pedal the World,Germany,2015,85,"Documentaries, International Movies, Sports Movies",over the course of one memorable and adventure filled year  felix starck documents his 18 000 kilometer bicycle journey across 22 countries 
Sara's Notebook,Spain,2018,117,"Dramas, International Movies, Thrillers",a naive madrid lawyer travels to africa to search for her younger sister  who has gone missing in a part of congo plagued by violence and strife 
Fernando Sanjiao: Hombre,Argentina,2018,63,Stand-Up Comedy,argentine actor and comedian fernando sanjiao uses humor and impersonations to explore the concepts of masculinity and fatherhood in modern times 
Ibiza,United States,2018,94,"Comedies, Romantic Movies",when harper is sent to spain for an important work meeting  her hard partying friends tag along and convince her to pursue a fling with a famous dj 
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,United States,2018,74,Stand-Up Comedy,longtime pals and showbiz icons steve martin and martin short share countless quips  catchy tunes and hilarious stories about their lives in comedy 
Tig Notaro Happy To Be Here,United States,2018,58,Stand-Up Comedy,comedian tig notaro unleashes her inner prankster in a playful stand up special packed with funny anecdotes  parenting confessions and more 
Catching Feelings,South Africa,2018,117,"Comedies, International Movies, Romantic Movies",amid growing tensions in their marriage  a johannesburg professor and his journalist wife find their lives upended by a famous  hard partying author 
Katt Williams: American Hustle (The Movie),United States,2007,89,Stand-Up Comedy,an aspiring actor leaves hollywood and takes to the road to do stand up after he s cast in a series of increasingly stereotypical  black  roles 
Food on the Go,"Argentina, Italy",2017,66,"Documentaries, International Movies",epicureans and experts trace the migration of italian cuisine and its evolution in the americas  delving into the ideas of origin  diaspora and heritage 
Aiyaary,India,2018,158,"Action & Adventure, Dramas, International Movies",when his prot g  goes rogue and poses a grave threat to the government he serves  a veteran officer of the indian army tries to stop him at all costs 
Lupin the 3rd: The Castle of Cagliostro: Special Edition,Japan,1979,100,"Action & Adventure, Anime Features, Classic Movies",lupin  his sidekick  jigen  and the samurai warrior goemon set out to take over an evil counterfeit operation at count cagliostro s fortress 
Ali Wong: Hard Knock Wife,United States,2018,64,Stand-Up Comedy,two years after the hit  baby cobra   ali wong is back with another baby bump   and a torrent of hilarious truths about marriage and motherhood 
Spivak,United States,2017,92,"Comedies, Independent Movies",struggling writer wally spivak is stuck in a rut   until he meets an engaged couple and starts to see life in a whole new way 
Carlos Ballarta: Furia Ñera,Mexico,2018,63,Stand-Up Comedy,mexican comic carlos ballarta mocks himself and points out the absurdities of parenthood and how he uses his wife s pregnancies to avoid commitments 
The Kissing Booth,"United Kingdom, United States",2018,105,"Comedies, Romantic Movies",when teenager elle s first kiss leads to a forbidden romance with the hottest boy in high school  she risks her relationship with her best friend 
Hari Kondabolu: Warn Your Relatives,United States,2018,67,Stand-Up Comedy,hari kondabolu breaks down identity politics  celebrity encounters  his mango obsession and more in an unpredictable stand up comedy special 
My Fuhrer,Germany,2007,91,"Comedies, International Movies",germany s most celebrated actor is commissioned by nazi propagandist joseph goebbels to prepare the leader of the third reich to deliver a speech 
Family Blood,United States,2018,92,Horror Movies,a former addict moves to a new city with her children for a fresh start  but her struggle soon takes on an unexpected  supernatural dimension 
Pup Star: World Tour,"Canada, Japan, United States",2018,87,"Children & Family Movies, Comedies, Music & Musicals",talented pooches from around the world compete to be the next pup star  but behind the scenes schemes threaten to ruin the fun 
Anon,"United Kingdom, Canada, United States, Germany",2018,100,"Dramas, Sci-Fi & Fantasy, Thrillers",in a future where technology has rendered privacy obsolete  a detective investigates a serial assassin who has been deleted from all visual records 
Dany Boon: Des Hauts De France,France,2018,113,Stand-Up Comedy,in an eclectic one man show  french superstar dany boon reflects on his homeland  his first comedy gig and the challenges of parenting hostile teens 
End Game,United States,2018,40,Documentaries,facing an inevitable outcome  terminally ill patients meet extraordinary medical practitioners seeking to change our approach to life and death 
Forgive Us Our Debts,"Italy, Switzerland, Albania, Poland",2018,105,"Dramas, International Movies",threatened by creditors  a newly unemployed man agrees to work for a debt collector  but soon discovers his deal with the devil has unexpected costs 
Lo más sencillo es complicarlo todo,Mexico,2018,94,"Comedies, International Movies, Romantic Movies",when a 17 year old learns the tv news host she pines for is engaged  she and her best friend launch an elaborate plan to prevent his marriage 
Manhunt,"China, Hong Kong",2017,109,"Action & Adventure, International Movies",a chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp witted japanese detective to stop a dangerous corporate plot 
Thi Mai,Spain,2017,99,"Comedies, Dramas, International Movies",along with her two friends  a determined woman travels to vietnam to bring home the baby her recently deceased daughter had planned to adopt 
Si saben cómo me pongo ¿pá qué me invitan?,Colombia,2018,89,"Comedies, International Movies",when four unhappy couples attend a spiritual retreat at a resort to try and solve their relationship troubles  shenanigans ensue 
Jailbreak,Cambodia,2017,92,"Action & Adventure, International Movies",four cops escorting a mobster to a high security prison fight for survival when a gang boss orchestrates a riot from outside to silence their charge 
Ajji,India,2017,105,"Dramas, International Movies",when her small granddaughter is sexually assaulted by a powerful man and no justice is served  a poor  frail old woman plots her violent revenge 
CIA: Comrade in America,India,2017,130,"Action & Adventure, Dramas, Independent Movies",a young man in kerala has two weeks to stop the woman he loves from a fixed marriage in the u s   but he doesn t have the papers to get there 
Coffee for All,"Italy, United States, Argentina",2017,69,"Documentaries, International Movies",in naples  buenos aires and new york  people reflect on the neapolitan tradition of  suspended coffee  and how it changed their lives 
Darc,United States,2018,98,"Action & Adventure, Independent Movies",to bring down a global human trafficking ring  an interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza 
Despido Procedente,"Argentina, Spain",2017,90,"Comedies, International Movies",a spaniard working in argentina sees his life upended after accidentally giving bad directions to a passerby  who demands compensation for the error 
John Mulaney: Kid Gorgeous at Radio City,United States,2018,65,Stand-Up Comedy,john mulaney relays stories from his childhood and  snl   eviscerates the value of college and laments getting older in this electric comedy special 
My Perfect Romance,Canada,2018,92,"Comedies, International Movies, Romantic Movies",just in time for valentine s day  a program developer pitches a revolutionary dating algorithm to her new ceo  who volunteers them as guinea pigs 
Pocoyo & The Space Circus,Spain,2008,25,Movies,acrobatic aliens arrive on spaceships and perform for everyone  but when angry aliens arrive as well  pocoyo and his friends must now put on a show 
Pocoyo Halloween: Space Halloween,United States,2015,40,Movies,pocoyo and his friends have a costume contest to celebrate halloween and learn new things about planets and stars in space 
Sometimes,India,2016,101,"Dramas, International Movies",seven strangers anxiously waiting for their hiv test results decide to bribe the clinic receptionist to get them early  learning one is positive 
The Clapper,United States,2017,90,"Comedies, Dramas, Independent Movies",a newcomer ekes out a living in la as a professional audience member on infomercials  but life gets complicated when he s thrust into the spotlight 
Toc Toc,Spain,2017,96,"Comedies, International Movies",a group of patients with ocd wait for their flight delayed doctor to arrive for their appointments  forcing them to endure each other s oddball quirks 
Running Shaadi,India,2017,115,"Comedies, International Movies, Romantic Movies",a bihari migrant runs a successful service to help couples elope  until the daughter of his former boss stirs the pot 
The Price of Success,France,2017,92,"Dramas, International Movies",struggling to balance family ties and a career  a rising comedian of parisian banlieue roots learns the true price of fame 
Candy Jar,United States,2018,93,"Children & Family Movies, Dramas, Romantic Movies",dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams 
Holy Goalie,Spain,2017,95,"Comedies, International Movies, Sports Movies",a young priest coaches a team of uncoordinated monks in order to win a soccer tournament and save their monastery from being turned into a hotel 
The Rachel Divide,United States,2018,105,Documentaries,rachel dolezal  her family and her critics reckon with the aftermath of a national debate sparked by questions about her racial identity 
The Week Of,United States,2018,117,Comedies,two fathers with clashing views about their children s upcoming wedding struggle to keep it together during the chaotic week before the big day 
Enissa Amani: Ehrenwort,Germany,2018,66,Stand-Up Comedy,live from hamburg  iranian german comedian enissa amani shares her take on german engineering  tax deductions and online fan mail etiquette 
Bill Nye: Science Guy,United States,2017,97,Documentaries,the dynamic  bow tied host behind the young adult science show faces climate change skeptics as he demonstrates the importance of scientific evidence 
Fishtronaut: The Movie,Brazil,2018,78,Children & Family Movies,fishtronaut  marina and zeek travel to the big city in search of grandpa  only to find that everyone else has mysteriously vanished too 
Psychokinesis,South Korea,2018,102,"Action & Adventure, Comedies, International Movies",suddenly possessed with supernatural powers  a father sets out to help his estranged daughter  who s at risk of losing everything she s lived for 
Kevin James: Never Don't Give Up,United States,2018,62,Stand-Up Comedy,kevin james makes his long awaited return to stand up in this family friendly special  dishing on fatherhood  fans  his disdain for allergies and more 
Dude,United States,2018,97,"Comedies, Dramas, Independent Movies",four best friends navigate loss and major life changes   and smoke a lot of weed   during their last two weeks of high school 
Kodachrome,"Canada, United States",2018,105,"Comedies, Dramas",a record company exec joins his estranged dad  a famous photographer who s dying  on a road trip to the last lab still developing kodachrome film 
Mercury 13,United States,2018,79,Documentaries,after rigorous testing in 1961  a small group of skilled female pilots are asked to step aside when only men are selected for spaceflight 
All The Reasons To Forget,Brazil,2017,90,"Comedies, Dramas, International Movies",a brazilian man tries a myriad of ways to get over his breakup with his girlfriend but is surprised to learn it s more difficult than he anticipated 
Beyond Skyline,"United States, Canada, Indonesia, United Kingdom, China, Singapore",2017,107,"Action & Adventure, Sci-Fi & Fantasy",in the wake of an extraterrestrial invasion  a suspended l a  cop teams up with survivors to stop the onslaught and rescue human captives 
Come Sunday,United States,2018,105,"Dramas, Faith & Spirituality, Independent Movies",a crisis of faith sets renowned fundamentalist preacher carlton pearson on a new spiritual path that jeopardizes everything he holds dear 
I Am not an Easy Man,France,2018,99,"Comedies, International Movies, Romantic Movies",a shameless chauvinist gets a taste of his own medicine when he wakes up in a world dominated by women and locks horns with a powerful female author 
Pickpockets,Colombia,2017,108,"Dramas, Independent Movies, International Movies",aspiring teen thieves learn what it takes to be successful pickpockets on the streets of bogot  from a master in the arts of trickery and deception 
Greg Davies: You Magnificent Beast,United Kingdom,2018,66,Stand-Up Comedy,british comedian greg davies revisits terrifying dates  manscaping disasters  his father s pranks and more in a savagely funny stand up special 
6 Balloons,United States,2018,75,"Dramas, Independent Movies",a loyal sister struggles to stay afloat while driving her heroin addicted brother to a detox center and looking after his 2 year old daughter 
Amateur,United States,2018,96,"Dramas, Independent Movies, Sports Movies",after he s recruited to an elite prep school  a 14 year old basketball phenom is confronted by corruption and greed in amateur sports 
Orbiter 9,"Spain, Colombia",2017,95,"Dramas, International Movies, Sci-Fi & Fantasy",a woman who s been alone on a spaceship her whole life becomes enamored with an engineer who suddenly enters her life and upends her universe 
